epoch,acc,nll,ece
1,0.462600,1.547324,0.078235
2,0.594300,1.138025,0.020033
3,0.629800,1.078637,0.045303
4,0.624800,1.136711,0.063835
5,0.721700,0.836448,0.018425
6,0.725400,0.806704,0.015771
7,0.698900,0.877350,0.050178
8,0.746100,0.744583,0.030083
9,0.724000,0.828796,0.038847
10,0.740500,0.748864,0.053589
11,0.767900,0.675879,0.021433
12,0.777300,0.658057,0.017628
13,0.804100,0.573759,0.024610
14,0.809200,0.560004,0.020407
15,0.824600,0.509455,0.021854
16,0.830100,0.493153,0.023182
17,0.844000,0.459483,0.024477
18,0.846100,0.449491,0.029117
19,0.852700,0.437057,0.027694
20,0.853100,0.436402,0.029810
